System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
09:53:52:145, 345355066953278,   27.909,   11.000, 2600,  16.080, 436.041, 121.123,  12.091, 307.008,  85.280, 44,  0,   1.509,  43.169,  11.991,   2.358,  82.845,  23.013, 107.000, 107.000, 163.000,   0.000,   0.000,  342,  69.518
09:53:52:249, 345355336559400,   28.013,   11.000, 2600,  15.434, 437.647, 121.569,  11.312, 308.185,  85.607, 46,  0,   1.489,  43.324,  12.034,   2.505,  83.106,  23.085, 107.000, 107.000, 163.000,   0.000,   0.000,  422,  69.616
09:53:52:361, 345355627584599,   28.125,   12.000, 1200,  15.926, 439.435, 122.065,  11.954, 309.527,  85.980, 47,  0,   1.437,  43.485,  12.079,   2.379,  83.373,  23.159, 107.000, 107.000, 163.000,   0.000,   0.000,  358,  62.358
09:53:52:489, 345355971267628,   28.258,   15.000, 2600,  14.789, 441.396, 122.610,  11.187, 311.010,  86.392, 56,  0,   1.363,  43.666,  12.129,   2.067,  83.647,  23.235, 107.000, 107.000, 163.000,   0.000,   0.000,  342,  59.109
09:53:52:601, 345356261466804,   28.370,   13.000, 3600,  17.131, 443.314, 123.143,  12.912, 312.456,  86.793, 53,  0,   1.516,  43.836,  12.177,   2.569,  83.935,  23.315, 107.000, 107.000, 163.000,   0.000,   0.000,  421,  65.028
09:53:52:721, 345356560447938,   28.485,   12.000, 2900,  16.536, 445.221, 123.673,  12.961, 313.951,  87.209, 52,  0,   1.456,  44.004,  12.223,   2.039,  84.170,  23.381, 107.000, 107.000, 163.000,   0.000,   0.000,  295,  64.809
09:53:52:808, 345356799161446,   28.577,   15.000, 3600,  16.972, 446.784, 124.107,  12.593, 315.111,  87.531, 51,  0,   1.584,  44.150,  12.264,   2.671,  84.416,  23.449, 107.000, 107.000, 163.000,   0.000,   0.000,  415,  78.977
09:53:52:913, 345357061211636,   28.678,   13.000, 3200,  18.092, 448.613, 124.615,  13.816, 316.508,  87.919, 54,  0,   1.635,  44.315,  12.310,   2.616,  84.681,  23.522, 107.000, 107.000, 163.000,   0.000,   0.000,  415,  73.211
09:53:53:024, 345357347356802,   28.789,   11.000, 2000,  15.537, 450.328, 125.091,  11.349, 317.761,  88.267, 43,  0,   1.469,  44.477,  12.355,   2.458,  84.952,  23.598, 107.000, 107.000, 163.000,   0.000,   0.000,  392,  66.656
09:53:53:129, 345357625000984,   28.896,   14.000, 3600,  16.162, 452.060, 125.572,  12.392, 319.088,  88.636, 55,  0,   1.520,  44.640,  12.400,   2.149,  85.182,  23.662, 107.000, 107.000, 163.000,   0.000,   0.000,  319,  74.599
09:53:53:242, 345357910196134,   29.006,   19.000, 2600,  17.491, 453.984, 126.107,  13.387, 320.561,  89.045, 49,  0,   1.524,  44.808,  12.447,   2.437,  85.450,  23.736, 107.000, 107.000, 163.000,   0.000,   0.000,  362,  68.018
09:53:53:353, 345358204567136,   29.119,   24.000, 3400,  19.956, 456.251, 126.736,  15.918, 322.369,  89.547, 52,  0,   1.699,  45.000,  12.500,   2.358,  85.718,  23.811, 107.000, 107.000, 163.000,   0.000,   0.000,  413,  62.840
09:53:53:501, 345358597748857,   29.271,   15.000, 2600,  19.365, 459.188, 127.552,  15.440, 324.711,  90.197, 46,  0,   1.775,  45.270,  12.575,   2.040,  86.028,  23.897, 107.000, 107.000, 163.000,   0.000,   0.000,  379,  62.231
09:53:53:670, 345359027756338,   29.437,   15.000, 3500,  16.809, 461.977, 128.327,  12.436, 326.774,  90.771, 52,  0,   1.634,  45.541,  12.650,   2.673,  86.471,  24.020, 107.000, 107.000, 163.000,   0.000,   0.000,  421,  71.397
09:53:53:862, 345359522812112,   29.628,   13.000, 3600,  16.720, 465.170, 129.214,  12.665, 329.193,  91.442, 52,  0,   1.572,  45.841,  12.734,   2.349,  86.920,  24.144, 107.000, 107.000, 163.000,   0.000,   0.000,  410,  54.692

Total Elapsed Time (sec) = 29.627795
Measured RDTSC Frequency (GHz) = 2.592

Cumulative Processor Energy_0 (Joules) = 465.170166
Cumulative Processor Energy_0 (mWh) = 129.213935
Average Processor Power_0 (Watt) = 15.700465

Cumulative IA Energy_0 (Joules) = 329.192993
Cumulative IA Energy_0 (mWh) = 91.442498
Average IA Power_0 (Watt) = 11.110952

Cumulative DRAM Energy_0 (Joules) = 45.840942
Cumulative DRAM Energy_0 (mWh) = 12.733595
Average DRAM Power_0 (Watt) = 1.547228

Cumulative GT Energy_0 (Joules) = 86.919800
Cumulative GT Energy_0 (mWh) = 24.144389
Average GT Power_0 (Watt) = 2.933725
